edad,anos_de_experiencia,anos_en_la_empresa_actual,anos_en_el_puesto_actual,trabajo_de,salario_bruto,salario_neto,sueldo_dolarizado
27,5,1,1,BI Analyst / Data Analyst,94000,78000,FALSE
30,5,1,1,BI Analyst / Data Analyst,94000,72000,FALSE
30,4,4,4,BI Analyst / Data Analyst,35000,30000,FALSE
28,3,0,0,Data Scientist / Data Engineer,94000,70000,FALSE
24,2,0,0,BI Analyst / Data Analyst,60000,43000,FALSE
24,2,0,0,BI Analyst / Data Analyst,60000,43000,FALSE
37,4,6,2,BI Analyst / Data Analyst,92500,72000,FALSE
28,1,1,1,Data Scientist / Data Engineer,92300,70641,FALSE
48,20,0,0,Data Scientist / Data Engineer,92000,74000,FALSE
31,1,0,0,BI Analyst / Data Analyst,64000,53000,FALSE
34,9,5,9,BI Analyst / Data Analyst,75000,63000,FALSE
38,14,10,0,BI Analyst / Data Analyst,90000,72000,FALSE
29,5,2,2,BI Analyst / Data Analyst,90000,72000,FALSE
42,15,1,1,BI Analyst / Data Analyst,90000,74000,FALSE
28,5,4,1,Data Scientist / Data Engineer,90000,67000,FALSE
24,2,1,0,Data Scientist / Data Engineer,90000,75000,FALSE
23,2,1,1,Data Scientist / Data Engineer,90000,70000,FALSE
37,8,3,1,BI Analyst / Data Analyst,47000,40000,FALSE
39,7,1,1,BI Analyst / Data Analyst,87000,78000,FALSE
30,7,3,1,BI Analyst / Data Analyst,86000,70000,FALSE
26,6,5,0,BI Analyst / Data Analyst,85000,66000,FALSE
27,4,3,1,BI Analyst / Data Analyst,85000,68000,FALSE
25,5,0,0,BI Analyst / Data Analyst,85000,70000,FALSE
30,7,0,7,BI Analyst / Data Analyst,84000,67000,FALSE
26,7,0,4,BI Analyst / Data Analyst,84000,64000,FALSE
30,8,0,0,BI Analyst / Data Analyst,82000,60000,FALSE
25,1,0,0,BI Analyst / Data Analyst,81000,65000,FALSE
28,4,2,1,BI Analyst / Data Analyst,80000,65000,FALSE
29,0,0,0,BI Analyst / Data Analyst,40000,37350,FALSE
31,12,0,2,BI Analyst / Data Analyst,80000,68000,FALSE
31,4,0,0,BI Analyst / Data Analyst,80000,63000,FALSE
27,3,15,15,Data Scientist / Data Engineer,80000,66000,FALSE
30,3,3,1,BI Analyst / Data Analyst,44000,36500,FALSE
26,3,3,15,Data Scientist / Data Engineer,80000,65000,FALSE
26,3,1,2,Data Scientist / Data Engineer,80000,68000,FALSE
30,4,0,0,Data Scientist / Data Engineer,78382,65058,FALSE
37,15,3,1,BI Analyst / Data Analyst,78000,50000,FALSE
28,5,5,4,Data Scientist / Data Engineer,76431,65047,FALSE
23,0,0,0,Data Scientist / Data Engineer,55503,46067,FALSE
37,14,2,2,Data Scientist / Data Engineer,95000,85000,FALSE
41,19,0,9,BI Analyst / Data Analyst,76000,63000,FALSE
21,0,0,0,Data Scientist / Data Engineer,25000,22000,FALSE
43,2,2,2,Data Scientist / Data Engineer,75980,63063,FALSE
30,8,3,3,Data Scientist / Data Engineer,75093,59994,FALSE
37,17,17,4,BI Analyst / Data Analyst,75000,60000,FALSE
34,12,15,2,Data Scientist / Data Engineer,70000,61000,FALSE
37,15,15,1,Data Scientist / Data Engineer,150000,120000,FALSE
23,0,0,0,Data Scientist / Data Engineer,60000,48000,FALSE
32,6,1,1,Data Scientist / Data Engineer,95000,80000,FALSE
24,3,0,1,BI Analyst / Data Analyst,75000,62000,FALSE
38,12,5,5,BI Analyst / Data Analyst,75000,63000,FALSE
27,3,0,0,BI Analyst / Data Analyst,75000,63500,FALSE
29,2,0,0,Data Scientist / Data Engineer,75000,70000,FALSE
26,1,1,1,Data Scientist / Data Engineer,47000,41000,FALSE
32,4,25,25,Data Scientist / Data Engineer,53000,42000,FALSE
29,3,3,3,Data Scientist / Data Engineer,73245,60000,FALSE
22,2,2,1,Data Scientist / Data Engineer,60000,54000,FALSE
29,1,0,0,Data Scientist / Data Engineer,84700,70000,FALSE
28,4,1,1,BI Analyst / Data Analyst,73000,60500,FALSE
32,6,3,0,BI Analyst / Data Analyst,72000,60000,FALSE
34,10,2,2,Data Scientist / Data Engineer,150000,80000,FALSE
23,0,0,0,Data Scientist / Data Engineer,72000,58350,FALSE
35,3,15,15,Data Scientist / Data Engineer,136000,92000,FALSE
21,2,0,2,Data Scientist / Data Engineer,82000,65000,FALSE
37,14,4,4,BI Analyst / Data Analyst,71500,59170,FALSE
30,10,7,2,BI Analyst / Data Analyst,70000,58000,FALSE
32,3,3,3,Data Scientist / Data Engineer,70000,60000,FALSE
26,2,1,1,Data Scientist / Data Engineer,70000,58000,FALSE
29,4,1,0,BI Analyst / Data Analyst,68555,55700,FALSE
26,4,0,0,BI Analyst / Data Analyst,68000,57500,FALSE
33,13,5,5,Data Scientist / Data Engineer,68000,55000,FALSE
28,0,0,0,Data Scientist / Data Engineer,67200,57000,FALSE
43,1,1,1,Data Scientist / Data Engineer,66070,54838,FALSE
43,2,2,2,Data Scientist / Data Engineer,66000,54000,FALSE
25,3,3,1,BI Analyst / Data Analyst,65000,54000,FALSE
33,13,0,0,Data Scientist / Data Engineer,65000,53000,FALSE
27,3,3,2,BI Analyst / Data Analyst,65000,58000,FALSE
24,1,1,1,Data Scientist / Data Engineer,70000,58000,FALSE
37,12,4,5,BI Analyst / Data Analyst,64400,52500,FALSE
37,15,7,3,Data Scientist / Data Engineer,64000,53000,FALSE
32,7,7,1,BI Analyst / Data Analyst,62000,51000,FALSE
30,2,0,0,BI Analyst / Data Analyst,62000,55330,FALSE
30,1,1,1,Data Scientist / Data Engineer,60600,50300,FALSE
26,8,0,0,BI Analyst / Data Analyst,60500,49800,FALSE
26,5,5,5,BI Analyst / Data Analyst,60500,50200,FALSE
26,3,0,0,Data Scientist / Data Engineer,60000,54000,FALSE
25,3,3,3,BI Analyst / Data Analyst,60000,50000,FALSE
40,13,4,4,BI Analyst / Data Analyst,60000,49500,FALSE
27,2,0,0,BI Analyst / Data Analyst,60000,50000,FALSE
25,2,0,0,BI Analyst / Data Analyst,60000,49900,FALSE
24,0,0,0,Data Scientist / Data Engineer,42000,35000,FALSE
25,0,0,0,Data Scientist / Data Engineer,41000,34000,FALSE
41,12,2,1,Data Scientist / Data Engineer,110000,70000,FALSE
43,8,8,2,BI Analyst / Data Analyst,60000,50000,FALSE
35,10,10,10,BI Analyst / Data Analyst,60000,48000,FALSE
30,4,4,1,Data Scientist / Data Engineer,120000,90000,FALSE
26,2,0,0,Data Scientist / Data Engineer,60000,50000,FALSE
34,8,0,0,BI Analyst / Data Analyst,58500,48000,FALSE
29,8,2,2,BI Analyst / Data Analyst,58100,48223,FALSE
25,3,1,1,Data Scientist / Data Engineer,57480,47708,FALSE
23,2,2,0,BI Analyst / Data Analyst,57000,47000,FALSE
23,3,0,0,Data Scientist / Data Engineer,56000,46000,FALSE
33,10,4,1,Data Scientist / Data Engineer,161000,114000,FALSE
24,2,0,0,Data Scientist / Data Engineer,56000,44000,FALSE
25,1,0,1,BI Analyst / Data Analyst,55000,48000,FALSE
30,1,1,1,BI Analyst / Data Analyst,55000,45650,FALSE
28,3,2,2,BI Analyst / Data Analyst,55000,44000,FALSE
28,2,2,1,Data Scientist / Data Engineer,55000,50000,FALSE
32,4,2,1,Data Scientist / Data Engineer,90000,70000,FALSE
29,5,0,0,Data Scientist / Data Engineer,76300,63800,FALSE
28,4,0,0,BI Analyst / Data Analyst,54000,44820,FALSE
32,3,3,3,Data Scientist / Data Engineer,53000,44000,FALSE
29,1,0,0,Data Scientist / Data Engineer,90000,72000,FALSE
37,15,3,15,Data Scientist / Data Engineer,10630918,82594,FALSE
30,7,1,1,BI Analyst / Data Analyst,50000,45000,FALSE
26,1,0,0,BI Analyst / Data Analyst,50000,42500,FALSE
33,1,0,0,Data Scientist / Data Engineer,50000,41500,FALSE
28,4,0,1,Data Scientist / Data Engineer,110000,83000,FALSE
22,1,0,1,Data Scientist / Data Engineer,50000,41500,FALSE
22,1,1,1,Data Scientist / Data Engineer,51800,36500,FALSE
33,5,2,2,Data Scientist / Data Engineer,48000,42000,FALSE
20,2,2,1,Data Scientist / Data Engineer,48000,35000,FALSE
24,2,15,15,BI Analyst / Data Analyst,47790,39900,FALSE
23,1,1,1,BI Analyst / Data Analyst,47000,40000,FALSE
21,0,0,0,Data Scientist / Data Engineer,45000,37350,FALSE
25,2,2,2,Data Scientist / Data Engineer,42000,35000,FALSE
36,18,3,3,BI Analyst / Data Analyst,44000,36000,FALSE
26,1,0,1,BI Analyst / Data Analyst,43000,36000,FALSE
34,6,3,3,Data Scientist / Data Engineer,43000,40000,FALSE
35,12,0,0,BI Analyst / Data Analyst,42000,32000,FALSE
24,2,2,0,BI Analyst / Data Analyst,42000,36000,FALSE
40,4,0,0,BI Analyst / Data Analyst,40000,33200,FALSE
30,1,1,0,Data Scientist / Data Engineer,40000,33000,FALSE
26,0,0,0,BI Analyst / Data Analyst,40000,33600,FALSE
22,0,0,0,BI Analyst / Data Analyst,40000,30000,FALSE
24,1,0,0,BI Analyst / Data Analyst,39000,31000,FALSE
21,1,1,1,Data Scientist / Data Engineer,38500,32000,FALSE
23,1,0,0,BI Analyst / Data Analyst,38000,30600,FALSE
29,1,1,1,BI Analyst / Data Analyst,36900,30000,FALSE
31,12,2,2,BI Analyst / Data Analyst,36000,30000,FALSE
21,0,0,0,BI Analyst / Data Analyst,35000,30000,FALSE
30,2,0,0,BI Analyst / Data Analyst,35000,29000,FALSE
32,0,0,0,BI Analyst / Data Analyst,35000,29000,FALSE
26,0,0,0,BI Analyst / Data Analyst,35000,29000,FALSE
21,0,0,0,BI Analyst / Data Analyst,33000,27000,FALSE
21,0,0,0,BI Analyst / Data Analyst,31000,26000,FALSE
23,0,0,0,BI Analyst / Data Analyst,30100,25000,FALSE
25,1,0,0,BI Analyst / Data Analyst,30000,24900,FALSE
28,0,0,0,BI Analyst / Data Analyst,29000,25000,FALSE
25,0,0,0,BI Analyst / Data Analyst,28000,23000,FALSE
24,2,2,2,BI Analyst / Data Analyst,26000,24700,FALSE
23,1,1,0,BI Analyst / Data Analyst,24000,22000,FALSE
