"","timestamp","me_identifico","edad","estoy_trabajando_en","donde_estas_trabajando","anos_de_experiencia","anos_en_la_empresa_actual","anos_en_el_puesto_actual","gente_a_cargo","nivel_de_estudios_alcanzado","estado","carrera","universidad","realizaste_cursos_de_especializacion","contribuis_a_proyectos_open_source","programas_como_hobbie","trabajo_de","plataformas","lenguajes_de_programacion","frameworksherramientas_y_librerias","bases_de_datos","qa_testing","ides","que_so_usas_en_tu_laptoppc_para_trabajar","y_en_tu_celular","tenes_guardias","cuanto_cobras_por_guardia","porcentajebruto_o_neto","tipo_de_contrato","salario_bruto","salario_neto","que_tan_conforme_estas_con_tu_sueldo","como_crees_que_esta_tu_sueldo_con_respecto_al_ultimo_semestre","recibis_algun_tipo_de_bono","a_que_esta_atado_el_bono","tuviste_ajustes_por_inflacion_en_2019","de_que_fue_el_ajuste_total","en_que_mes_fue_el_ultimo_ajuste","sufriste_o_presenciaste_situaciones_de_violencia_laboral","orientacion_sexual","tenes_algun_tipo_de_discapacidad","sentis_que_esto_te_dificulto_el_conseguir_trabajo","a_que_eventos_de_tecnologia_asististe_en_el_ultimo_ano","sos_miembro_de_alguna_comunidad_it","cantidad_de_empleados","actividad_principal","la_recomendas_como_un_buen_lugar_para_trabajar","como_calificas_las_politicas_de_diversidad_e_inclusion","a_cuantos_kilometros_de_tu_casa_queda_la_oficina","beneficios_extra","habias_respondido_nuestra_encuesta_en_ediciones_anteriores","cuales_consideras_que_son_las_mejores_empresas_de_it_para_trabajar_en_este_momentoen_tu_ciudad"
"11","1/23/2020 12:52:42","Mujer",33,"Argentina","Ciudad Autónoma de Buenos Aires",10,0,0,1,"Posgrado","Completado","Ingeniería Ambiental","Universidad católica de asunción","Sí, de forma particular","No","No","Data Scientist / Data Engineer","Amazon Web Services, Firebase","Python, R, SQL","Spark","Apache Hive, MySQL, Teradata",NA,"IPython / Jupyter, RStudio, Sublime Text","macOS","iOS","No",0,"Porcentaje de mi sueldo","Full-Time",178000,110000,4,4,"De uno a tres sueldos","Mix de las anteriores","Dos",53,11,"En un trabajo anterior","Heterosexual",NA,NA,NA,NA,"5001-10000","Otras industrias",9,9,3,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Gimnasios gratuitos / subvencionados, Estacionamiento gratuito / subvencionado, Guardería, Horarios flexibles, Lactario en la oficina, Licencia de paternidad/maternidad extendida, Masajes, Playroom, Snacks, golosinas, bebidas, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, Viáticos, WFH (Trabajar desde casa)","No","Mercado libre, Medallia, Facebook, Google, Mulesoft, Globant"
"12","1/28/2020 23:55:44","Hombre",37,"Argentina","Ciudad Autónoma de Buenos Aires",15,0,0,0,"Universitario","Completado","Ingeniería en Informática","Católica de Salta","Sí, los pagó un empleador","No","No","BI Analyst / Data Analyst","Azure, Windows Server",NA,"jQuery","Microsoft Azure (Tables, CosmosDB, SQL, etc)","TFS",NA,"Windows","iOS","Sí, pasiva",2000,"Bruto","Full-Time",177000,135000,3,4,"No","No recibo bono","Tres",50,12,"Jamás","Heterosexual",NA,"No",NA,NA,"10001+","Otras industrias",9,10,8,"Capacitaciones y/o cursos, Clases de idiomas, Cuota para universidad / posgrados, Gimnasios gratuitos / subvencionados, Guardería, Horarios flexibles, Lactario en la oficina, Viajes al exterior","Sí",NA
"13","1/6/2020 17:06:57","Hombre",39,"Argentina","Ciudad Autónoma de Buenos Aires",10,0,0,0,"Posdoctorado","Completado","Licenciatura en Ciencias de la Computación","UBA - Universidad de Buenos Aires","No","No","No","Data Scientist / Data Engineer","Docker, Linux","Javascript, Python, Scala","React.js, TensorFlow","MySQL",NA,"IPython / Jupyter, Visual Studio Code, Spydet","GNU/Linux","Android","No",0,"Porcentaje de mi sueldo","Full-Time",157500,119000,3,3,"Menos de un sueldo","Performance individual","No",0,0,"En un trabajo anterior","Heterosexual",NA,NA,NA,NA,"1001-2000","Producto basado en Software",8,8,8,"Gimnasios gratuitos / subvencionados, Licencia de paternidad/maternidad extendida, Playroom, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)","No",NA
"14","2/2/2020 9:23:07","Hombre",33,"Argentina","Ciudad Autónoma de Buenos Aires",7,3,1,5,"Posgrado","Completado","Ingeniero químico","ITBA - Instituto Tecnológico de Buenos Aires","Sí, los pagó un empleador","No","Sí","BI Analyst / Data Analyst",NA,"Python, R, VBA",NA,"Access",NA,"Notepad++, RStudio","Windows","Android","No",0,"Porcentaje de mi sueldo","Full-Time",155000,105000,3,3,"No","No recibo bono","Dos",30,8,"Jamás","Heterosexual",NA,NA,"Aviation Data Symposium",NA,"1001-2000","Otras industrias",4,9,16,"Ninguna de las anteriores","No",NA
"15","1/23/2020 9:49:19","Hombre",32,"Argentina","Ciudad Autónoma de Buenos Aires",10,8,2,0,"Universitario","Completado","Ingeniería en Sistemas de Información","UTN - Universidad Tecnológica Nacional","Sí, de forma particular","No","Sí","Data Scientist / Data Engineer","VMWare, Windows Server",".NET, C#, Javascript, SQL","Angular, Bootstrap, jQuery","MSSQL, Teradata",NA,"Notepad++, Visual Studio, Visual Studio Code","Windows","iOS","No",0,"Porcentaje de mi sueldo","Full-Time",150000,90000,3,3,"Un sueldo","Performance individual","Más de tres",40,9,"Jamás","Heterosexual",NA,NA,NA,NA,"2001-5000","Otras industrias",4,4,15,"Capacitaciones y/o cursos, Clases de idiomas","Sí",NA
"16","1/3/2020 10:27:19","Hombre",32,"Argentina","Ciudad Autónoma de Buenos Aires",5,1,1,0,"Posgrado","Completado","Licenciatura en Administración de Empresas","UBA - Universidad de Buenos Aires","Sí, de forma particular","No","Sí","BI Analyst / Data Analyst","Amazon Web Services","Python, R",NA,"Amazon Redshift, Microsoft Azure (Tables, CosmosDB, SQL, etc)",NA,"IPython / Jupyter, Notepad++, PyCharm, RStudio","Windows","Android","No",0,"Bruto","Full-Time",146000,1e+05,3,3,"3+ sueldos","Mix de las anteriores","Tres",50,8,"Jamás","Heterosexual",NA,"No","Tableau conference",NA,"11-50","Servicios / Consultoría de Software / Digital",10,10,2,"Estacionamiento gratuito / subvencionado, Licencia de paternidad/maternidad extendida, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)","No",NA
"17","1/24/2020 8:08:07","Hombre",38,"Argentina","Ciudad Autónoma de Buenos Aires",8,2,4,1,"Doctorado","Completado","Licenciatura en Análisis de Sistemas","UNSa","Sí, de forma particular","No","No","Data Scientist / Data Engineer","Linux","Python","Hadoop, Spark, TensorFlow","Apache Hive, Teradata",NA,"IPython / Jupyter, Notepad++, PyCharm, Visual Studio Code","Windows","Android","No",0,"Bruto","Full-Time",145000,110000,2,3,"Un sueldo","Performance individual","Dos",40,12,"Jamás","Heterosexual",NA,"No","Meetup",NA,"1001-2000","Otras industrias",8,10,4,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Gimnasios gratuitos / subvencionados, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)","No","Mercado libre"
"18","12/29/2019 14:04:31","Hombre",47,"Argentina","Buenos Aires",20,15,3,0,"Posgrado","En curso","Ingeniería en Sistemas de Información","UTN - Universidad Tecnológica Nacional","Sí, de forma particular, Sí, los pagó un empleador","No","Sí","BI Analyst / Data Analyst","Windows Server","SQL, Qlikview script",NA,"MSSQL, Oracle",NA,"Qlikview qliksense","Windows","Android","Sí, pasiva",3000,"Neto","Full-Time",51000,40000,1,1,"De uno a tres sueldos","Performance de la compañía","No",32,10,"En mi trabajo actual","Heterosexual",NA,NA,"Virtual forum qliktech 2019",NA,"5001-10000","Otras industrias",5,6,2,"Capacitaciones y/o cursos, Guardería, Horarios flexibles, Lactario en la oficina","Sí",NA
"19","12/27/2019 8:50:33","Hombre",41,"Argentina","Ciudad Autónoma de Buenos Aires",15,10,9,0,"Posgrado","Completado","Licenciatura en Sistemas de Información","UP - Universidad de Palermo","Sí, de forma particular","No","Sí","BI Analyst / Data Analyst",NA,"ABAP, PHP, Python, SQL",NA,"HANA, MSSQL, MySQL",NA,"Eclipse, IPython / Jupyter, Notepad++","Windows","Android","No",0,"Bruto","Full-Time",136000,98000,3,2,"No","No recibo bono","Tres",32,12,"En mi trabajo actual","Heterosexual","Auditiva","No","C-level data innovation","Asug","501-1000","Otras industrias",7,5,12,"Ninguna de las anteriores","No","Bbinbev, dupont, ferrum"
"20","1/30/2020 11:43:15","Hombre",50,"Argentina","Ciudad Autónoma de Buenos Aires",20,1,5,0,"Universitario","Completado","Analista de Sistemas","USAL - Universidad del Salvador","Sí, de forma particular, Sí, los pagó un empleador","No","No","BI Analyst / Data Analyst","Linux","SQL","TOAD","Oracle","No hago testeos","Sublime Text","Windows","Android","Sí, pasiva",0,"Porcentaje de mi sueldo","Full-Time",135000,1e+05,4,3,"Menos de un sueldo","Performance individual","Tres",42,11,"Jamás","Heterosexual","Visual","No",NA,NA,"2001-5000","Otras industrias",8,8,30,"Abono de celular y/o Internet, Clases de idiomas, Viáticos","No",NA
"21","1/2/2020 6:28:23","Mujer",23,"Argentina","Buenos Aires",3,0,0,0,"Universitario","Completado","Contador Público","UCA - Universidad Católica Argentina","No","No","No","BI Analyst / Data Analyst","Windows Server",NA,"SAP","Microsoft Azure (Tables, CosmosDB, SQL, etc)",NA,NA,"Windows","iOS","No",0,"Bruto","Full-Time",52000,43000,3,3,"Un sueldo","Performance de la compañía","Uno",15,10,"Jamás","Heterosexual",NA,"No",NA,NA,"201-500","Otras industrias",8,9,25,"Clases de idiomas, Gimnasios gratuitos / subvencionados, Snacks, golosinas, bebidas, WFH (Trabajar desde casa), Descuentos en productos","No",NA
"22","1/9/2020 7:11:01","Mujer",40,"Argentina","Ciudad Autónoma de Buenos Aires",14,4,2,0,"Posgrado","En curso","Ingeniería en Informática",NA,"Sí, de forma particular","No","No","Data Scientist / Data Engineer",NA,"Python, R, SQL, VBA",NA,"Teradata",NA,NA,"Windows","iOS","No",0,"Porcentaje de mi sueldo","Full-Time",135000,95000,3,3,"De uno a tres sueldos","Mix de las anteriores","Tres",50,11,"En un trabajo anterior","Heterosexual",NA,NA,NA,NA,"5001-10000","Otras industrias",10,5,24,"Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Guardería, Horarios flexibles, Licencia de paternidad/maternidad extendida, Masajes, WFH (Trabajar desde casa)","Sí","cualquiera extranjera"
"23","1/2/2020 14:44:39","Hombre",36,"Argentina","Buenos Aires",16,3,6,5,"Universitario","Incompleto","Ingeniería en Computación","UNLaM - Universidad Nacional de La Matanza","Sí, los pagó un empleador","No","Sí","BI Analyst / Data Analyst","Windows Server, Qlik","Javascript, Python, R, SQL, Qlik","SAP","Apache Hive, MongoDB, MySQL, Oracle, PostgreSQL, SQLite, Teradata",NA,"Visual Studio","Windows","Android","No",0,"Neto","Full-Time",110000,87300,3,1,"No","No recibo bono","Dos",20,11,"Jamás","Heterosexual","Visual","No","Meetups, Webinars, Argentinos x la educación","Argentinos por la educación","51-100","Servicios / Consultoría de Software / Digital",9,10,20,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Gimnasios gratuitos / subvencionados, Descuentos varios (Clarín 365, Club La Nación, etc), WFH (Trabajar desde casa)","Sí","Cognizant, DataIQ, 3XM"
"24","1/2/2020 15:38:56","Hombre",26,"Argentina","Buenos Aires",2,0,0,0,"Terciario","En curso","Analista Programador Universitario","ISTEA - Instituto Superior Tecnológico Empresarial Argentino","Sí, de forma particular","No","Sí","BI Analyst / Data Analyst","Azure, Qlik","SQL",NA,"Microsoft Azure (Tables, CosmosDB, SQL, etc), MSSQL, MySQL, Oracle, PostgreSQL",NA,NA,"Windows","Android","Sí, pasiva",1450,"Neto","Freelance",120000,110000,3,4,"No","No recibo bono","Tres",40,10,"Jamás","Heterosexual",NA,NA,NA,"Qlik Community","11-50","Servicios / Consultoría de Software / Digital",10,10,-1,"Capacitaciones y/o cursos, Estacionamiento gratuito / subvencionado","Sí",NA
"25","1/12/2020 8:55:07","Hombre",36,"Argentina","Ciudad Autónoma de Buenos Aires",14,3,3,0,"Universitario","Completado","Licenciatura en Análisis de Sistemas","UBA - Universidad de Buenos Aires","Sí, de forma particular, Sí, los pagó un empleador","No","No","BI Analyst / Data Analyst",NA,".NET, ActionScript, C#, HTML, SQL, VBA",".NET Core","MSSQL, Oracle",NA,NA,"Windows","Android","No",0,"Neto","Full-Time",130000,99000,3,3,"Menos de un sueldo","Sindicato","Más de tres",50,10,"Jamás","Heterosexual",NA,"No",NA,NA,"1001-2000","Otras industrias",7,7,30,"Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Licencia de paternidad/maternidad extendida","Sí",NA
"26","2/1/2020 10:32:47","Hombre",26,"Argentina","Ciudad Autónoma de Buenos Aires",4,0,4,0,"Secundario","Completado","Ingeniero de Datos",NA,"No","No","No","Data Scientist / Data Engineer","Amazon Web Services, Docker, Heroku, Linux","Python, Ruby","Rails, Spark","Amazon Redshift, PostgreSQL","RSpec","PyCharm, RubyMine","GNU/Linux","Android","No",0,"Porcentaje de mi sueldo","Tercerizado (trabajo a través de consultora o agencia)",130000,96000,3,1,"No","No recibo bono","Tres",50,9,"Jamás","Heterosexual",NA,NA,NA,NA,"51-100","Servicios / Consultoría de Software / Digital",7,5,3,"Comidas pagas / subvencionadas, Horarios flexibles, Viajes al exterior, WFH (Trabajar desde casa)","Sí",NA
"27","12/28/2019 15:56:05","Hombre",36,"Argentina","Ciudad Autónoma de Buenos Aires",10,8,2,0,"Posgrado","Completado","Ingeniería en Informática","ITBA - Instituto Tecnológico de Buenos Aires","Sí, los pagó un empleador","No","Sí","Data Scientist / Data Engineer","Azure, Docker, Linux","Python, R","Flask, Spark, TensorFlow","Microsoft Azure (Tables, CosmosDB, SQL, etc)",NA,NA,"Windows","Android","No",0,"Bruto","Full-Time",121000,77000,1,2,"De uno a tres sueldos","Mix de las anteriores","Uno",21,10,"Jamás","Heterosexual",NA,"No","Papis.io",NA,"10001+","Otras industrias",5,10,4,"Clases de idiomas, Guardería, WFH (Trabajar desde casa)","Sí",NA
"28","1/2/2020 17:41:19","Hombre",37,"Argentina","Córdoba",13,0,0,0,"Universitario","Completado","Ingeniería en Software","Universidad Siglo 21","Sí, de forma particular","No","No","BI Analyst / Data Analyst","Google Cloud Platform/App Engine, Windows Server","Python, SQL","jQuery","MSSQL, Oracle",NA,NA,"Windows","Android","No",0,"Porcentaje de mi sueldo","Full-Time",70000,60000,2,1,"No","No recibo bono","Uno",12,11,"Jamás","Heterosexual",NA,"No",NA,NA,"101-200","Servicios / Consultoría de Software / Digital",6,6,-1,"Capacitaciones y/o cursos, Gimnasios gratuitos / subvencionados","Sí",NA
"29","1/15/2020 7:59:02","Hombre",51,"Argentina","Ciudad Autónoma de Buenos Aires",25,5,5,0,"Posgrado","Completado","Licenciatura en Informática","UCAECE - Centro de Altos Estudios en Ciencias Exactas","Sí, de forma particular","No","No","BI Analyst / Data Analyst","Windows Server","SQL, VBA, Qlikview",NA,"MSSQL",NA,NA,"Windows","Android","No",0,"Porcentaje de mi sueldo","Full-Time",120000,85000,3,3,"De uno a tres sueldos","Mix de las anteriores","Tres",38,12,"Jamás","Heterosexual",NA,NA,NA,NA,"2001-5000","Otras industrias",8,8,40,"Abono de celular y/o Internet, Snacks, golosinas, bebidas","Sí",NA
"30","12/13/2019 11:15:42","Hombre",29,"Argentina","Ciudad Autónoma de Buenos Aires",5,0,0,0,"Posgrado","En curso","Ingeniería en Sistemas de Información","UTN - Universidad Tecnológica Nacional","No","No","No","Data Scientist / Data Engineer","Amazon Web Services, Docker, Google Cloud Platform/App Engine, Kubernetes","Bash/Shell, Python, Scala","Flask, Spark","Amazon S3",NA,"IntelliJ, IPython / Jupyter, PyCharm, Sublime Text, Vim","macOS","Android","No",0,"Bruto","Full-Time",120000,89000,3,4,"No","No recibo bono","No",30,0,"Jamás","Heterosexual",NA,"No",NA,NA,"501-1000","Otras industrias",8,4,2,"Clases de idiomas, Horarios flexibles, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)","Sí",NA
"31","12/14/2019 1:15:05","Hombre",32,"Argentina","Ciudad Autónoma de Buenos Aires",2,1,1,0,"Universitario","Completado","Ingeniería en Computación","UNLP - Universidad Nacional de La Plata","Sí, de forma particular","No","No","Data Scientist / Data Engineer",NA,NA,NA,NA,NA,NA,"Windows","Android","No",0,"Neto","Full-Time",120000,88457,4,4,"Un sueldo","Performance individual","Tres",55,12,NA,NA,NA,NA,NA,NA,"2001-5000","Otras industrias",10,10,5,"Clases de idiomas, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Descuentos varios (Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado, WFH (Trabajar desde casa)","No",NA
"32","1/20/2020 15:48:51","Hombre",32,"Argentina","Ciudad Autónoma de Buenos Aires",5,0,0,1,"Doctorado","En curso","Ciencias Físicas","UBA - Universidad de Buenos Aires","Sí, de forma particular, Sí, los pagó un empleador","No","No","Data Scientist / Data Engineer","Amazon Web Services, Docker, Heroku, Kubernetes, Linux, Serverless","Python, SQL","Flask, Salesforce","ElasticSearch, MySQL, PostgreSQL, Redis",NA,"Atom, IPython / Jupyter, PyCharm","Windows","Android","No",0,"Bruto","Full-Time",120000,80000,3,1,"No","No recibo bono","No",0,0,"Jamás","Heterosexual",NA,"No","AWS, Big data Week ,meetups","si","51-100","Servicios / Consultoría de Software / Digital",8,2,5,"Capacitaciones y/o cursos, Clases de idiomas, Gimnasios gratuitos / subvencionados, Horarios flexibles, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)","No",NA
"33","1/22/2020 13:35:39","Hombre",28,"Argentina","Ciudad Autónoma de Buenos Aires",4,0,3,0,"Posgrado","En curso","Licenciatura en comercializacion","UADE - Universidad Argentina De la Empresa","Sí, de forma particular","No","Sí","Data Scientist / Data Engineer","Amazon Web Services, Docker, Kubernetes, Linux, Serverless","Python, R","Flask, Hadoop, Spark, TensorFlow","ElasticSearch, MySQL, PostgreSQL, Redis, SQLite",NA,"IPython / Jupyter, Sublime Text","GNU/Linux","Android","No",0,"Porcentaje de mi sueldo","Full-Time",120000,90000,3,2,"No","No recibo bono","No",0,0,"En mi trabajo actual","Heterosexual","Visual","No",NA,NA,"11-50","Producto basado en Software",7,5,5,"Abono de celular y/o Internet, Horarios flexibles","Sí",NA
